Case Name,Case URL,Case Number,Last Updated,Enforcement Authority,Location,Sectors,Complaint Types,Topics,Dispositions
Phone message left at client’s workplace disclosed personal information without consent - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2012/pipeda-2012-009/,#2012-009,"January 30, 2013",OPC,Canada,Insurance,Consent; Openness,Consent; Privacy at work,Well-founded and conditionally resolved
Insurance company required to delete individual’s personal information after individual withdraws consent - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2017/pipeda-2017-005/,#2017-005,"March 29, 2018",OPC,Canada,Insurance,Accountability; Consent; Retention and Disposal,Consent,Well-founded and resolved
Former telco employee denied access to certain employment file information - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2002/pipeda-2002-088/,#2002-88,"October 31, 2002",OPC,Canada,Telecommunications,Access,Access to personal information; Privacy at work,Well-founded
A credit agency is accused of disclosing personal information to a company without consent - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2003/pipeda-2003-188/,#2003-188,"July 10, 2003",OPC,Canada,Financial Institutions,Use and Disclosure,Consent,Not well-founded
Bank requested to correct personal information of customer - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2003/pipeda-2003-133/,#2003-133,"March 6, 2003",OPC,Canada,Financial Institutions,Correction,N/A,Not well-founded
A bank exceeds the time limit for answering an access request - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2003/pipeda-2003-253/,#2003-253,"December 17, 2003",OPC,Canada,Financial Institutions,Access; Retention and Disposal,Access to personal information,Well-founded
Bank accused of assigning inaccurate credit ratings - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2002/pipeda-2002-070/,#2002-70,"September 4, 2002",OPC,Canada,Financial Institutions,Access; Correction; Time Limit,Access to personal information,Resolved
Bank not required to publicize detailed privacy policies and procedures - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2003/pipeda-2003-183/,#2003-183,"July 10, 2003",OPC,Canada,Financial Institutions,Access,Identity theft,Not well-founded
Spam received by customer not linked to a security breach or a disclosure at his telecom - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2014/pipeda-2014-010/,#2014-010,"December 11, 2014",OPC,Canada,Telecommunications,Use and Disclosure,Consent; Internet and online,Not well-founded
Individual refused access to credit history - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2003/pipeda-2003-134/,#2003-134,"March 6, 2003",OPC,Canada,Financial Institutions,Time Limit,Access to personal information,Well-founded
Telecom company halts texts and calls to frustrated customer who believed he had opted out of receiving marketing communications - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/ser/2014/er_140122/,#4,"September 29, 2014",OPC,Canada,Telecommunications,Consent,Consent,Early resolved
"After installing surveillance cameras in the workplace, a broadcasting company has agreed to inform its employees about the purpose and to adopt a policy regarding its use - Office of the Privacy Commissioner of Canada",https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2004/pipeda-2004-273/,#2004-273,"June 21, 2004",OPC,Canada,Telecommunications,Collection; Consent,Privacy at work; Surveillance and monitoring,Resolved
Daycare denied parent access to his personal information - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2005/pipeda-2005-309/,#2005-309,"August 4, 2005",OPC,Canada,Other,Access,Access to personal information,Resolved
Bank uses SINs for credit matching purposes without meaningful consent - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2003/pipeda-2003-142/,#2003-142,"October 18, 2003",OPC,Canada,Financial Institutions,Use and Disclosure,Consent; Social Insurance Number (SIN),Well-founded
Airline broadens interpretation of personal information and improves handling of personal information access requests - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2007/pipeda-2007-370/,#2007-370,"May 3, 2007",OPC,Canada,Transportation,Access,Access to personal information,Resolved
Credit applicant accuses bank of withholding credit reporting information - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2002/pipeda-2002-049/,#2002-49,"April 30, 2002",OPC,Canada,Financial Institutions,Access; Collection,Access to personal information,Well-founded
Individual raises concerns about consent clauses on credit card application form - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2003/pipeda-2003-203/,#2003-203,"August 5, 2003",OPC,Canada,Financial Institutions,Collection,Consent; Social Insurance Number (SIN),Well-founded
No Consent Required for Using Publicly Available Personal Information Matched with Geographically Specific Demographic Statistics - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2009/pipeda-2009-004/,#2009-004,"June 8, 2009",OPC,Canada,Other,Consent; Openness,Consent,Well-founded and resolved
Hotel check-in/check-out times are personal information and must not be disclosed without consent - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2013/pipeda-2013-007/,#2013-007,"December 5, 2013",OPC,Canada,Accommodations,Consent,Access to personal information; Consent; Public safety and law enforcement,Well-founded and resolved
Consent provided to open joint credit account not sufficient to authorize subsequent credit checks of account holders - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2015/pipeda-2015-009/,#2015-009,"January 25, 2016",OPC,Canada,Sales,Consent; Use and Disclosure,Consent,Well-founded
Customer objects to Social Insurance Number on address label of telephone bill - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2002/pipeda-2002-057/,#2002-57,"July 2, 2002",OPC,Canada,Telecommunications,Use and Disclosure,Access to personal information; Consent; Social Insurance Number (SIN),Well-founded
Bank relies on call display to identify customer and access account information - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2003/pipeda-2003-155/,#2003-155,"April 15, 2003",OPC,Canada,Financial Institutions,Use and Disclosure,N/A,Well-founded
Trucking company inappropriately disclosed employee’s drug test results to workers’ compensation board - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2016/pipeda-2016-009/,#2016-009,"November 10, 2016",OPC,Canada,Transportation,Consent; Use and Disclosure,Consent; Privacy at work,Well-founded and resolved
Bank refuses credit applicant access to credit reporting information - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2002/pipeda-2002-047/,#2002-47,"April 29, 2002",OPC,Canada,Financial Institutions,Access,Access to personal information,Well-founded
Residential Property Appraisal Documents are Owners’ Personal Information - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2008/pipeda-2008-390/,#2008-390,"July 18, 2008",OPC,Canada,Financial Institutions,Access,Access to personal information,Resolved
Individual is denied access to personal information - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2003/pipeda-2003-165/,#2003-165,"April 17, 2003",OPC,Canada,Telecommunications,Access,Access to personal information,Resolved
The importance of explaining the reasons for collecting personal information - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2007/pipeda-2007-369/,#2007-369,"May 3, 2007",OPC,Canada,Financial Institutions,Collection,N/A,Not well-founded
Website that generates revenue by republishing Canadian court decisions and allowing them to be indexed by search engines contravened PIPEDA - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2015/pipeda-2015-002/,#2015-002,"June 9, 2015",OPC,Canada,Services; Services,Appropriate Purposes; Consent; Use and Disclosure; Use and Disclosure,Consent; Internet and online; OPC Privacy Priorities,Well-founded
Courier company amends consent form and improves information-handling practices - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2004/pipeda-2004-258/,#2004-258,"January 23, 2004",OPC,Canada,Transportation,Collection,Consent,Resolved
Phone company discloses personal information without customer's knowledge and consent - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2003/pipeda-2003-172/,#2003-172,"April 28, 2003",OPC,Canada,Telecommunications,Use and Disclosure,Consent,Well-founded
Provision of medical information through physician challenged - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2005/pipeda-2005-322/,#2005-322,"May 12, 2006",OPC,Canada,Health; Insurance,Access,Access to personal information; Health/medical Information,Resolved
Telecommunications company used and disclosed customer's personal information - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2003/pipeda-2003-210/,#2003-210,"August 1, 2003",OPC,Canada,Telecommunications,Use and Disclosure,N/A,Well-founded
Applicant objects to credit check as condition for opening bank account - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2002/pipeda-2002-040/,#2002-40,"March 12, 2002",OPC,Canada,Financial Institutions,Collection,Consent,Well-founded
"Disclosure of diagnosis was inappropriate, but insurance company considered to be open about its privacy policies and practices - Office of the Privacy Commissioner of Canada",https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2006/pipeda-2006-348/,#2006-348,"November 1, 2006",OPC,Canada,Health; Insurance,Openness; Use and Disclosure,Health/medical Information; Privacy at work,Well-founded and resolved
Pension and benefit provider agrees to revamp authentication and address-change procedures after misdirected mailings - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2015/pipeda-2015-014/,#2015-014,"July 27, 2016",OPC,Canada,Insurance,Safeguards,Consent,Well-founded and conditionally resolved
Bank adopts sweeping changes to its information collection practices - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2002/pipeda-2002-097/,#2002-97,"September 30, 2002",OPC,Canada,Financial Institutions,Collection; Consent,Consent,Resolved
Former employer changed account information of Air Canada frequent flyer member - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2005/pipeda-2005-292/,#2005-292,"April 27, 2005",OPC,Canada,Transportation,Use and Disclosure,Consent,Well-founded
Customer alleges that sale of his personal information by one bank to another occurred without his knowledge and consent - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2005/pipeda-2005-307/,#2005-307,"November 16, 2006",OPC,Canada,Financial Institutions,Use and Disclosure,Consent,Not well-founded
Anti-virus service provider steps up safeguards after customer personal information fraudulently used by someone posing as an employee - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/ser/2015/er_05_150628/,#2015-05,"February 24, 2017",OPC,Canada,Professionals,Safeguards,Privacy breaches; Privacy policies,Early resolved
Bank offers $20 gift certificate as compensation for privacy violation - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2002/pipeda-2002-033/,#2002-33,"January 8, 2002",OPC,Canada,Financial Institutions,Use and Disclosure,Privacy breaches,Resolved
Fax from debt collector contained debtor's personal information - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2005/pipeda-2005-317/,#2005-317,"August 31, 2005",OPC,Canada,Financial Institutions,Collection; Use and Disclosure,Privacy at work; Social Insurance Number (SIN),Resolved
Individual's misinterpretation of contest wording leads to invitation to ex-wife - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2007/pipeda-2007-373/,#2007-373,"May 21, 2008",OPC,Canada,Transportation,Consent,Consent; Internet and online,Not well-founded
Bank's Ombudsman revises agreement to clearly explain exchanges of personal information between it and the bank - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2006/pipeda-2006-353/,#2006-353,"May 1, 2007",OPC,Canada,Financial Institutions,Use and Disclosure,Consent,Well-founded and resolved
Individual denied access to personal information - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2002/pipeda-2002-112/,#2002-112,"December 19, 2002",OPC,Canada,Telecommunications,Access,Access to personal information,Resolved
Benefits administrator takes steps to ensure appropriate consent is obtained before disclosing medical information - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2007/pipeda-2007-383/,#2007-383,"September 17, 2008",OPC,Canada,Health; Insurance,Use and Disclosure,Consent; Health/medical Information; Privacy at work,Well-founded and resolved
Bank teller gives customer's credit card account statements to wife - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2007/pipeda-2007-378/,#2007-378,"May 21, 2008",OPC,Canada,Financial Institutions,Use and Disclosure,Consent,Well-founded and resolved
Insurance adjusters' consent form considered overly broad - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2007/pipeda-2007-368/,#2007-368,"May 15, 2007",OPC,Canada,Insurance,Consent,Consent,Well-founded and resolved
Customer gets signed up for retailer credit card without his consent - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2016/pipeda-2016-012/,#2016-012,"March 15, 2017",OPC,Canada,Financial Institutions,Consent,Consent,Well-founded and resolved
Laurier Optical Improperly Discloses Client’s Personal Information - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2010/pipeda-2010-005/,#2010-005,"January 23, 2012",OPC,Canada,Sales,Access; Use and Disclosure,Access to personal information; Consent; Health/medical Information,Well-founded
"In response to a case of a teen who was a victim of online impersonation, Facebook agrees to help non-users, on a case-by-case basis, reinstate their on-line reputation - Office of the Privacy Commissioner of Canada",https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2013/pipeda-2013-010/,#2013-010,"February 12, 2014",OPC,Canada,Social Networking,Accuracy,Access to personal information; Identity theft; Internet and online; Privacy and society; Social Networking,Not well-founded
Denied access to personal information in human resource file - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2002/pipeda-2002-101/,#2002-101,"December 19, 2002",OPC,Canada,Transportation,Access,Access to personal information; Privacy at work,Resolved
Credit card account history disclosed to estranged spouse - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2006/pipeda-2006-331/,#2006-331,"July 19, 2006",OPC,Canada,Financial Institutions,Use and Disclosure,Consent,Not well-founded
Customers object to use of Social Insurance Number to activate credit card - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2002/pipeda-2002-115/,#2002-115,"December 20, 2002",OPC,Canada,Financial Institutions,Collection,Social Insurance Number (SIN),Resolved
A bank is commended for the language used in an account agreement - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2004/pipeda-2004-263/,#2004-263,"April 26, 2004",OPC,Canada,Financial Institutions,Use and Disclosure,Consent,Not well-founded
Individual challenges employer's refusal to grant sick leave - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2003/pipeda-2003-235/,#2003-235,"November 7, 2003",OPC,Canada,Transportation,Collection,Health/medical Information; Privacy at work,Well-founded
Personal information practices considered in sale of dental practice - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2006/pipeda-2006-325/,#2006-325,"May 12, 2006",OPC,Canada,Health,Collection,Consent; Health/medical Information,Not well-founded
Video cameras and swipe cards in the workplace - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2004/pipeda-2004-264/,#2004-264,"April 26, 2004",OPC,Canada,Transportation,Collection; Use and Disclosure,Privacy at work; Surveillance and monitoring,Well-founded
Wife accuses bank of telling husband about her credit card - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2002/pipeda-2002-108/,#2002-108,"December 19, 2002",OPC,Canada,Financial Institutions,Use and Disclosure,N/A,Well-founded
Fees and the role of a medical practitioner considered in denial of access complaint - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2006/pipeda-2006-341/,#2006-341,"October 16, 2006",OPC,Canada,Insurance,Access; Fee,Access to personal information,Resolved
Psychologist’s anonymized peer review notes are the personal information of the patient - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2009/pipeda-2009-018/,#2009-018,"June 18, 2010",OPC,Canada,Health,Access,Access to personal information; Health/medical Information,Well-founded
Bank opens former employee's mail - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2003/pipeda-2003-190/,#2003-190,"July 15, 2003",OPC,Canada,Financial Institutions,Collection,Privacy at work,Well-founded
Company collecting consumer personal information without identifying purposes halts practice and implements privacy policies and practices - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2005/pipeda-2005-300/,#2005-300,"May 30, 2005",OPC,Canada,Sales,Collection,Consent,Resolved
Security of a bank's automated telephone service - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2001/pipeda-2001-005/,#2001-5,"July 23, 2001",OPC,Canada,Financial Institutions,Safeguards,N/A,Resolved
Employer sends third parties copies of response to employee's access requests - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2001/pipeda-2001-020/,#2001-20,"November 5, 2001",OPC,Canada,Transportation,Use and Disclosure,Consent; Privacy at work,Well-founded
Bank failed to correct credit rating discrepancy and to provide access to financial records - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2003/pipeda-2003-224/,#2003-224,"October 7, 2003",OPC,Canada,Financial Institutions,Access; Correction,Access to personal information,Well-founded
Employer accused of forcing consent to security screening - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2002/pipeda-2002-065/,#2002-65,"August 14, 2002",OPC,Canada,Nuclear,Collection,Consent; Privacy at work,Not well-founded
Daughter required to produce power of attorney document - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2004/pipeda-2004-278/,#2004-278,"September 27, 2004",OPC,Canada,Financial Institutions,Safeguards,Consent,Not well-founded
Man objects on principle to bank's identification program - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2001/pipeda-2001-027/,#2001-27,"December 4, 2001",OPC,Canada,Financial Institutions,Collection,Identity theft,Not well-founded
Bank accused of withholding information on former employee - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2002/pipeda-2002-044/,#2002-44,"April 8, 2002",OPC,Canada,Financial Institutions,Access,Access to personal information,Resolved
Commissioner initiates safeguards complaint against CIBC - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2008/pipeda-2008-395/,#2008-395,"November 27, 2008",OPC,Canada,Financial Institutions,Safeguards,Privacy breaches,Well-founded and resolved
Telecommunications company monitors customer calls - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2003/pipeda-2003-160/,#2003-160,"April 16, 2003",OPC,Canada,Telecommunications,Collection,Consent,Not well-founded
Bank records customer call without consent; refuses to erase tape - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2003/pipeda-2003-176/,#2003-176,"June 3, 2003",OPC,Canada,Financial Institutions,Collection,Consent,Well-founded
Bank opens new account without customer consent - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2005/pipeda-2005-321/,#2005-321,"February 13, 2006",OPC,Canada,Financial Institutions,Use and Disclosure,Consent,Resolved
Telecommunications company accused of using customer's personal information without consent - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2003/pipeda-2003-126/,#2003-126,"March 4, 2003",OPC,Canada,Telecommunications,Use and Disclosure,N/A,Not well-founded
Bank accused of withholding audit trail information - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2002/pipeda-2002-074/,#2002-74,"October 9, 2002",OPC,Canada,Financial Institutions,Access,Access to personal information,Well-founded
Disclosure of personal information in the collection of a debt - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2003/pipeda-2003-130/,#2003-130,"March 4, 2003",OPC,Canada,Financial Institutions,Use and Disclosure,Consent,Not well-founded
"Customer finds bank's collection, use and disclosure of personal information excessive in order to open a personal deposit account, considers bank's purposes vague - Office of the Privacy Commissioner of Canada",https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2003/pipeda-2003-256/,#2003-256,"June 7, 2004",OPC,Canada,Financial Institutions,Collection; Use and Disclosure,Social Insurance Number (SIN),Well-founded
Couple objects to agency's delayed response to requests for credit histories - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2002/pipeda-2002-059/,#2002-59,"July 3, 2002",OPC,Canada,Financial Institutions,Access,Access to personal information,Resolved
Financial institution discloses individual’s sensitive health information to credit reporting agency - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2015/pipeda-2015-017/,#2015-017,"October 4, 2017",OPC,Canada,Financial Institutions,Accountability; Accuracy; Use and Disclosure,Consent; Health/medical Information,Well-founded and conditionally resolved
Ontario insurance company used credit information to assess risk; calculate premiums - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2012/pipeda-2012-005/,#2012-005,"December 19, 2012",OPC,Canada,Insurance,Consent; Openness,N/A,Well-founded and conditionally resolved
Financial institution takes strong remedial measures after insufficient safeguards and unnecessary storage leaves sensitive data vulnerable to breach - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2015/pipeda-2015-007/,#2015-007,"November 12, 2015",OPC,Canada,Financial Institutions,Safeguards,N/A,Well-founded and resolved
Bank cites exemption to deny former employee access to personal information - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2002/pipeda-2002-084/,#2002-84,"October 10, 2002",OPC,Canada,Financial Institutions,Access,Access to personal information,Not well-founded
Customer opts-out of receiving promotional material but bank continues to send it - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2003/pipeda-2003-116/,#2003-116,"January 31, 2003",OPC,Canada,Financial Institutions,Use and Disclosure,Consent,Well-founded
An employee appealing the termination of workers’ compensation benefits consents to the disclosure of personal information allowed under the appeal process - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2009/pipeda-2009-016/,#2009-016,"April 18, 2010",OPC,Canada,Transportation,Use and Disclosure,Consent; Health/medical Information; Privacy at work,Not well-founded
Airline accused of collecting too much information for U.S. authorities - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2003/pipeda-2003-128/,#2003-128,"March 4, 2003",OPC,Canada,Transportation,Collection,Privacy at work,Well-founded
Joint investigation of Ashley Madison by the Privacy Commissioner of Canada and the Australian Privacy Commissioner/Acting Australian Information Commissioner - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2016/pipeda-2016-005/,#2016-005,"August 23, 2016",OPC,Canada,Services; Social Networking,Accuracy; Consent; Retention and Disposal; Safeguards,Advertising and marketing; Consent; Internet and online; OPC Privacy Priorities; Privacy breaches; Social Networking,Well-founded and conditionally resolved
Bank refuses customer access to internal credit score - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2002/pipeda-2002-063/,#2002-63,"July 22, 2002",OPC,Canada,Financial Institutions,Access,Access to personal information,Not well-founded
Individual objects to the real-time accuracy of credit score - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2013/pipeda-2013-008/,#2013-008,"December 12, 2013",OPC,Canada,Financial Institutions,Accuracy,N/A,Well-founded and resolved
Individual objects to request for SIN for purpose of credit inquiry and clause consenting to disclosure of personal information - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2003/pipeda-2003-151/,#2003-151,"April 14, 2003",OPC,Canada,Telecommunications,Use and Disclosure,Consent; Social Insurance Number (SIN),Well-founded
Customer’s emails sent to her acquaintance following a telecom employee’s attempt to fix a problem with the customer’s email service - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2015/pipeda-2015-010/,#2015-010,"March 21, 2016",OPC,Canada,Telecommunications,Use and Disclosure,Consent,Well-founded and resolved
Individual complains that bank used personal information for purpose other than that for which it was collected - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2002/pipeda-2002-093/,#2002-93,"November 28, 2002",OPC,Canada,Financial Institutions,Use and Disclosure,Consent; Driver's licences,Not well-founded
Bank accused of withholding personal information related to fraud investigation - Office of the Privacy Commissioner of Canada,https://www.priv.gc.ca//en/opc-actions-and-decisions/investigations/investigations-into-businesses/2002/pipeda-2002-068/,#2002-68,"August 30, 2002",OPC,Canada,Financial Institutions,Access; Collection; Time Limit,Access to personal information,Not well-founded
